date,country,value
2001-01-01,香港,187643.0
2001-01-01,義大利,1624.0
2001-01-01,德國,1305.0
2001-01-01,法國,2023.0
2001-01-01,美國,69855.0
2001-01-01,加拿大,16653.0
2001-01-01,紐西蘭,5048.0
2001-01-01,英國,1742.0
2001-01-01,澳門,73061.0
2001-01-01,荷蘭,10363.0
2001-01-01,越南,14462.0
2001-01-01,泰國,46148.0
2001-01-01,菲律賓,10215.0
2001-01-01,中國大陸,694.0
2001-01-01,印尼,23677.0
2001-01-01,澳大利亞,9618.0
2001-01-01,新加坡,21548.0
2001-01-01,馬來西亞,22548.0
2001-01-01,南韓,9232.0
2001-01-01,南非,0.0
2001-01-01,瑞士,1359.0
2001-01-01,日本,72117.0
2001-02-01,中國大陸,265.0
2001-02-01,印尼,18795.0
2001-02-01,菲律賓,6507.0
2001-02-01,澳大利亞,8345.0
2001-02-01,泰國,40551.0
2001-02-01,德國,1313.0
2001-02-01,新加坡,18532.0
2001-02-01,南非,0.0
2001-02-01,越南,16704.0
2001-02-01,荷蘭,8717.0
2001-02-01,日本,47750.0
2001-02-01,法國,1752.0
2001-02-01,馬來西亞,17785.0
2001-02-01,澳門,83457.0
2001-02-01,義大利,1259.0
2001-02-01,英國,996.0
2001-02-01,紐西蘭,2869.0
2001-02-01,南韓,10276.0
2001-02-01,香港,176044.0
2001-02-01,美國,35302.0
2001-02-01,瑞士,1461.0
2001-02-01,加拿大,7516.0
2001-03-01,中國大陸,1155.0
2001-03-01,加拿大,13365.0
2001-03-01,菲律賓,8182.0
2001-03-01,美國,42732.0
2001-03-01,英國,1199.0
2001-03-01,澳門,101489.0
2001-03-01,南非,0.0
2001-03-01,紐西蘭,1975.0
2001-03-01,印尼,18671.0
2001-03-01,法國,2313.0
2001-03-01,德國,1122.0
2001-03-01,泰國,44640.0
2001-03-01,越南,17391.0
2001-03-01,瑞士,1826.0
2001-03-01,南韓,8139.0
2001-03-01,香港,192536.0
2001-03-01,馬來西亞,20698.0
2001-03-01,日本,58468.0
2001-03-01,澳大利亞,6664.0
2001-03-01,新加坡,15716.0
2001-03-01,義大利,1975.0
2001-03-01,荷蘭,11903.0
2001-04-01,印尼,19397.0
2001-04-01,香港,220861.0
2001-04-01,越南,17433.0
2001-04-01,馬來西亞,23086.0
2001-04-01,法國,1814.0
2001-04-01,澳門,112412.0
2001-04-01,南韓,9275.0
2001-04-01,荷蘭,11802.0
2001-04-01,南非,0.0
2001-04-01,紐西蘭,2549.0
2001-04-01,泰國,47156.0
2001-04-01,新加坡,17728.0
2001-04-01,日本,77738.0
2001-04-01,德國,1258.0
2001-04-01,澳大利亞,8354.0
2001-04-01,美國,44048.0
2001-04-01,菲律賓,8372.0
2001-04-01,加拿大,13261.0
2001-04-01,義大利,1423.0
2001-04-01,中國大陸,716.0
2001-04-01,瑞士,1444.0
2001-04-01,英國,1481.0
2001-05-01,南韓,9345.0
2001-05-01,紐西蘭,1367.0
2001-05-01,日本,64368.0
2001-05-01,越南,16692.0
2001-05-01,澳門,108452.0
2001-05-01,馬來西亞,24486.0
2001-05-01,南非,0.0
2001-05-01,泰國,47684.0
2001-05-01,新加坡,14968.0
2001-05-01,澳大利亞,7629.0
2001-05-01,菲律賓,7079.0
2001-05-01,香港,208664.0
2001-05-01,中國大陸,994.0
2001-05-01,印尼,19326.0
2001-05-01,英國,1499.0
2001-05-01,加拿大,12555.0
2001-05-01,瑞士,1754.0
2001-05-01,法國,2003.0
2001-05-01,德國,1346.0
2001-05-01,美國,49741.0
2001-05-01,義大利,1400.0
2001-05-01,荷蘭,11284.0
2001-06-01,美國,57825.0
2001-06-01,澳大利亞,8204.0
2001-06-01,瑞士,2002.0
2001-06-01,英國,1931.0
2001-06-01,義大利,1498.0
2001-06-01,香港,211693.0
2001-06-01,越南,16129.0
2001-06-01,菲律賓,8411.0
2001-06-01,德國,1197.0
2001-06-01,法國,2366.0
2001-06-01,中國大陸,1249.0
2001-06-01,澳門,104867.0
2001-06-01,紐西蘭,1868.0
2001-06-01,南韓,9906.0
2001-06-01,印尼,23819.0
2001-06-01,馬來西亞,27399.0
2001-06-01,日本,71780.0
2001-06-01,荷蘭,13872.0
2001-06-01,新加坡,20029.0
2001-06-01,加拿大,14514.0
2001-06-01,南非,0.0
2001-06-01,泰國,62091.0
2001-07-01,中國大陸,1466.0
2001-07-01,馬來西亞,27467.0
2001-07-01,澳門,104935.0
2001-07-01,瑞士,1907.0
2001-07-01,香港,222940.0
2001-07-01,菲律賓,9510.0
2001-07-01,印尼,22404.0
2001-07-01,越南,15957.0
2001-07-01,南非,0.0
2001-07-01,德國,1383.0
2001-07-01,紐西蘭,3232.0
2001-07-01,加拿大,16228.0
2001-07-01,義大利,1052.0
2001-07-01,法國,2309.0
2001-07-01,英國,2093.0
2001-07-01,澳大利亞,9974.0
2001-07-01,日本,86115.0
2001-07-01,新加坡,25362.0
2001-07-01,南韓,10040.0
2001-07-01,美國,63090.0
2001-07-01,泰國,63177.0
2001-07-01,荷蘭,14227.0
2001-08-01,越南,15363.0
2001-08-01,法國,2375.0
2001-08-01,南非,0.0
2001-08-01,德國,1400.0
2001-08-01,泰國,55227.0
2001-08-01,南韓,10167.0
2001-08-01,菲律賓,10107.0
2001-08-01,香港,222963.0
2001-08-01,澳大利亞,7262.0
2001-08-01,紐西蘭,2049.0
2001-08-01,義大利,980.0
2001-08-01,英國,1788.0
2001-08-01,日本,67452.0
2001-08-01,美國,59396.0
2001-08-01,新加坡,19661.0
2001-08-01,印尼,21421.0
2001-08-01,瑞士,1780.0
2001-08-01,馬來西亞,24991.0
2001-08-01,中國大陸,875.0
2001-08-01,澳門,107726.0
2001-08-01,加拿大,17178.0
2001-08-01,荷蘭,12895.0
2001-09-01,澳大利亞,5767.0
2001-09-01,新加坡,13609.0
2001-09-01,義大利,1094.0
2001-09-01,德國,1172.0
2001-09-01,瑞士,1849.0
2001-09-01,泰國,40170.0
2001-09-01,南韓,8415.0
2001-09-01,菲律賓,7051.0
2001-09-01,印尼,16293.0
2001-09-01,中國大陸,1229.0
2001-09-01,香港,172181.0
2001-09-01,荷蘭,11843.0
2001-09-01,馬來西亞,17610.0
2001-09-01,日本,50868.0
2001-09-01,法國,2199.0
2001-09-01,英國,1794.0
2001-09-01,美國,30273.0
2001-09-01,紐西蘭,2041.0
2001-09-01,澳門,87291.0
2001-09-01,加拿大,10346.0
2001-09-01,越南,13150.0
2001-09-01,南非,0.0
2001-10-01,菲律賓,7515.0
2001-10-01,越南,14994.0
2001-10-01,日本,61269.0
2001-10-01,英國,1473.0
2001-10-01,澳大利亞,5663.0
2001-10-01,紐西蘭,2676.0
2001-10-01,德國,1139.0
2001-10-01,義大利,834.0
2001-10-01,澳門,104073.0
2001-10-01,中國大陸,1171.0
2001-10-01,美國,26365.0
2001-10-01,南韓,11178.0
2001-10-01,新加坡,13900.0
2001-10-01,印尼,14062.0
2001-10-01,南非,0.0
2001-10-01,馬來西亞,15794.0
2001-10-01,加拿大,7016.0
2001-10-01,法國,1674.0
2001-10-01,瑞士,272.0
2001-10-01,荷蘭,8699.0
2001-10-01,香港,190224.0
2001-10-01,泰國,36747.0
2001-11-01,馬來西亞,10905.0
2001-11-01,中國大陸,1125.0
2001-11-01,德國,1634.0
2001-11-01,南非,0.0
2001-11-01,澳門,90366.0
2001-11-01,美國,23007.0
2001-11-01,泰國,34717.0
2001-11-01,新加坡,13465.0
2001-11-01,荷蘭,9018.0
2001-11-01,菲律賓,7164.0
2001-11-01,加拿大,5170.0
2001-11-01,紐西蘭,2211.0
2001-11-01,南韓,9292.0
2001-11-01,日本,54674.0
2001-11-01,瑞士,0.0
2001-11-01,義大利,1160.0
2001-11-01,法國,2150.0
2001-11-01,越南,15182.0
2001-11-01,印尼,16417.0
2001-11-01,香港,152161.0
2001-11-01,澳大利亞,4376.0
2001-11-01,英國,1577.0
2001-12-01,美國,30376.0
2001-12-01,中國大陸,750.0
2001-12-01,紐西蘭,2818.0
2001-12-01,瑞士,0.0
2001-12-01,澳大利亞,5571.0
2001-12-01,加拿大,8091.0
2001-12-01,馬來西亞,15783.0
2001-12-01,新加坡,16464.0
2001-12-01,義大利,1326.0
2001-12-01,泰國,39865.0
2001-12-01,香港,162933.0
2001-12-01,英國,1914.0
2001-12-01,菲律賓,9901.0
2001-12-01,印尼,19354.0
2001-12-01,日本,52648.0
2001-12-01,德國,1225.0
2001-12-01,越南,18491.0
2001-12-01,澳門,96446.0
2001-12-01,法國,1767.0
2001-12-01,南韓,10358.0
2001-12-01,荷蘭,10861.0
2001-12-01,南非,0.0
2002-01-01,法國,2309.0
2002-01-01,泰國,45020.0
2002-01-01,澳大利亞,7615.0
2002-01-01,加拿大,10041.0
2002-01-01,馬來西亞,15869.0
2002-01-01,菲律賓,13518.0
2002-01-01,紐西蘭,4696.0
2002-01-01,荷蘭,10061.0
2002-01-01,越南,17599.0
2002-01-01,英國,3118.0
2002-01-01,瑞士,1.0
2002-01-01,日本,56251.0
2002-01-01,印尼,23195.0
2002-01-01,德國,1595.0
2002-01-01,新加坡,20149.0
2002-01-01,香港,168036.0
2002-01-01,中國大陸,663.0
2002-01-01,澳門,78100.0
2002-01-01,南韓,11805.0
2002-01-01,美國,50926.0
2002-01-01,義大利,981.0
